age,tl_fluor,area,moment
-0.21357497736948616,27.765382675812095,,
-0.1432387060234639,15.822977909198503,,
-0.13591201109158746,16.387426486750325,,
-0.08300556137297477,26.250376410108966,,
-0.06303067729554357,22.002204442397428,,
-0.049148518477249326,23.07168595775878,,
-0.04374990115902477,23.487595435954866,,
-0.005342595095079616,14.872420221047197,,
0.006302993691381431,21.556633418192927,,
0.0393888055416447,18.31852732610045,,
0.046715500473524685,18.882975903652273,,
0.05758985821452001,25.507773461055702,,
0.3286775706939835,17.457185645288046,,
0.3665450150261016,26.161530593671884,,
0.3873682532535412,27.765752866713914,,
0.5875798326551624,20.041904795666166,,
0.6350105419510008,23.695966639817456,,
0.6746518176876819,20.9628934855345,,
0.7647316037974967,16.32856613336076,,
0.7763771925839542,23.01277933050649,,
0.8336796592616906,15.85328728928511,,
1.002425012008505,17.279355190825704,,
1.0313461762132832,19.507441681161854,,
1.102222309291129,19.18070193644195,,
1.4107918505799795,19.804751249186978,,
1.5255510301445447,17.071724368766755,,
1.7767409816511197,19.0622871217219,,
1.8040425606604238,15.378563731562188,,
1.9403962094978873,14.309174763926293,,
2.0432784309623493,16.44818406851173,,
2.139219573017673,18.052452615416485,,
2.2304562056956776,13.50724872285619,,
2.389252677956062,19.95389190875818,,
2.5367120538481593,13.95305111637433,,
2.55954049279379,21.49879108978337,,
2.6088221565987375,19.508413432279134,,
2.6503915099490705,16.923879377351923,,
2.668901055040127,18.349854731167063,,
2.7478751140953115,18.646979203741278,,
2.7558559472198603,22.97464162431048,49,392
2.9381203315603237,23.627688757630196,54,475.5
2.940528629251407,21.91493193729309,,
3.0344645705885362,17.577682783830834,,
3.039477572384026,17.963884442155766,,
3.1542367519485843,15.23085756173554,,
3.369564459841232,14.45859306667386,,
3.5052240007377797,19.122767060306934,,
3.7251790949031935,18.706996403699033,,
3.7756176052763273,16.805742205808247,,
3.9358794165230755,17.578238070183566,,
3.9971151615326583,16.508802828684942,,
4.066448832519587,16.063231804480438,,
4.128841424097356,15.08292002259526,,
4.345993879668573,12.38042234430447,51,427.5686274509809
4.497875479350338,14.578118454099371,,
4.545306188646169,18.23218029825066,,
4.754541171279673,22.777569286261865,,
4.8207127949802135,16.301357102076906,,
5.086401890141449,22.30245240070576,,
5.1583362202302006,7.962993642236643,55,496.36363636363666
5.368044480498721,23.38863068407234,49,392
5.40893071335314,15.321369237230822,,
5.478649999862785,14.905506032897463,,
5.631585116177664,15.113553319720964,,
5.97910182526228,18.738092439452014,,
6.042959755826434,12.083633336040162,,
6.195971995245845,18.084659223874926,,
6.380874192951193,21.572283733294515,55,501.4545454545455
6.422971347865907,16.89047864160797,63,647.1111111111106
6.567242620530653,11.96512597359466,,
6.633457122439548,13.767212329038006,49,392
6.808869307073518,19.005971830782357,,
6.990648464488618,15.649127006930737,,
7.363924290491635,15.471111457017486,,
7.973709233501079,10.748214239829792,48,373.625
8.112537508137297,20.606756953037454,56,518
